lam(micras) energia(erg/sec/micras)
0.016870000 3.30652e+009
0.018450000 4.36711e+009
0.020180000 5.81184e+009
0.022080000 7.36810e+009
0.024150000 9.09972e+009
0.026410001 1.05983e+010
0.028889999 1.22667e+010
0.031600000 1.37207e+010
0.034570001 1.46853e+010
0.037810001 1.60768e+010
0.041360001 1.72306e+010
0.045239999 1.73360e+010
0.049479999 1.68776e+010
0.054129999 1.61849e+010
0.059200000 1.52144e+010
0.064759998 1.35154e+010
0.070829999 1.18853e+010
0.077479999 1.12656e+010
0.084750000 1.08310e+010
0.092700000 1.32376e+010
0.10140000 3.45166e+010
0.11090000 1.22988e+011
0.12130000 1.05846e+011
0.13270000 5.71008e+011
0.14510000 7.64387e+011
0.15880000 8.25125e+011
0.17000000 8.84000e+011
0.17370000 9.47186e+011
0.18990000 1.00913e+012
0.20780000 1.10633e+012
0.22150000 1.07383e+012
0.22730000 1.03626e+012
0.24800000 1.00068e+012
0.24860000 1.00434e+012
0.27190000 1.45466e+012
0.29740000 2.30158e+012
0.32530000 3.13557e+012
0.35580000 3.77860e+012
0.38920000 5.92752e+012
0.42570000 9.71447e+012
0.46570000 1.35752e+013
0.50940000 1.36417e+013
0.55710000 1.61336e+013
0.60940000 1.75020e+013
0.66660000 1.78649e+013
0.72910000 1.82931e+013
0.79750000 1.94829e+013
0.87240000 2.04665e+013
0.95420000 2.27100e+013
1.0440000 2.38450e+013
1.1420000 2.28400e+013
1.2490000 2.21323e+013
1.3660000 2.09954e+013
1.4940000 2.07068e+013
1.6340000 2.13564e+013
1.7880000 1.92389e+013
1.9550000 1.57808e+013
2.1390000 1.40425e+013
2.3390000 1.05232e+013
2.5590000 7.20870e+012
2.7990000 6.74559e+012
3.0610000 6.14037e+012
3.2200000 6.12444e+012
3.2300000 6.15961e+012
3.2400000 6.22080e+012
3.2500000 6.32450e+012
3.2600000 6.49718e+012
3.2700000 6.81141e+012
3.2790000 7.30889e+012
3.2800000 7.38656e+012
3.2900000 8.29409e+012
3.3000000 8.90340e+012
3.3100000 8.29486e+012
3.3200000 7.38036e+012
3.3210000 7.30952e+012
3.3300000 6.79986e+012
3.3400000 6.47292e+012
3.3490000 6.29947e+012
